Year,Total_output,Livestock_and_products_All,Livestock_and_products_Meat_animals,Livestock_and_products_Dairy,Livestock_and_products_Poultry_and_eggs,Crops_All,Crops_Food_grains,Crops_Feed_crops,Crops_Oil_crops,Crops_Vegetables_and_melons,Crops_Fruits_and_nuts,Crops_Other_crops,Farm_related_output,Total_farm_input,Capital_input_All,Capital_input_Duarable_equipment,Capital_input_Service_buildings,Capital_input_Land,Capital_input_Inventories,Labor_input_All,Labor_input_Hired_labor,Labor_input_Self_employed_and_unpaid_family,Intermediate_ goods_input_All,Intermediate_ goods_input_Feed_and_seed,Intermediate_ goods_input_Energy,Intermediate_ goods_input_Fertilizer_and_lime,Intermediate_ goods_input_Pesticides,Intermediate_ goods_input_Purchased_services,Intermediate_ goods_input_Other_intermediate,Total _factor_productivity_TFP
1948,0.4028,0.4821,0.6038,0.5306,0.1444,0.3789,0.511,0.4438,0.1374,0.3255,0.3734,0.4239,0.2379,0.9937,1.1592,0.6332,0.7847,1.3326,0.5482,3.8281,3.2223,4.1486,0.4776,0.4987,0.7291,0.4086,0.0378,0.4665,0.3266,0.4054
1949,0.3968,0.4855,0.6253,0.5543,0.1649,0.367,0.4389,0.4081,0.1314,0.3686,0.3297,0.468,0.2239,1.0071,1.1813,0.7472,0.8187,1.3372,0.5932,3.7359,2.9938,4.1266,0.4934,0.5159,0.8072,0.3962,0.0456,0.4652,0.3817,0.394
1950,0.3871,0.4935,0.6414,0.5593,0.1774,0.3454,0.4091,0.4184,0.1335,0.3562,0.326,0.362,0.2272,1.0127,1.2107,0.8621,0.8459,1.3404,0.5853,3.5943,3.1211,3.8454,0.5034,0.5151,0.828,0.5069,0.0584,0.4765,0.3314,0.3823
1951,0.4033,0.5133,0.6766,0.5502,0.1894,0.3626,0.4037,0.4043,0.1396,0.3616,0.3596,0.4603,0.1968,1.0285,1.2348,0.9622,0.8708,1.3417,0.5996,3.4562,3.0134,3.6912,0.5263,0.5389,0.8594,0.4952,0.05,0.5183,0.3405,0.3921
1952,0.4161,0.5248,0.7033,0.5555,0.1935,0.377,0.518,0.4177,0.1396,0.3441,0.3531,0.4606,0.2061,1.0309,1.2538,1.0459,0.8936,1.3409,0.6301,3.3789,2.9444,3.6097,0.529,0.5339,0.8971,0.5151,0.0526,0.5323,0.3523,0.4036
1953,0.4227,0.5387,0.7069,0.5921,0.1986,0.3799,0.4756,0.4175,0.1409,0.3671,0.3616,0.4808,0.2073,1.0274,1.2643,1.0919,0.9166,1.3378,0.6501,3.2386,2.8603,3.4396,0.5334,0.5487,0.9181,0.4821,0.0645,0.5098,0.3266,0.4115
1954,0.4222,0.5534,0.7347,0.6069,0.2098,0.3715,0.4176,0.4322,0.1482,0.3561,0.3771,0.4392,0.1926,0.9998,1.2684,1.1475,0.9367,1.3317,0.6366,3.1737,2.6967,3.427,0.5057,0.5082,0.9153,0.4896,0.0718,0.4939,0.3095,0.4223
1955,0.4338,0.5647,0.7605,0.616,0.2064,0.3847,0.3945,0.4554,0.1717,0.3764,0.3938,0.4471,0.1844,1.0343,1.2732,1.1679,0.9551,1.3218,0.6531,3.1031,2.6503,3.3435,0.5501,0.5707,0.9391,0.4933,0.094,0.5106,0.3074,0.4194
1956,0.4363,0.5775,0.7493,0.6326,0.2295,0.3809,0.4122,0.4482,0.1867,0.3899,0.3925,0.4207,0.2,1.0338,1.2745,1.1823,0.9707,1.3086,0.6625,2.9083,2.4202,3.1678,0.5683,0.5924,0.9391,0.4984,0.1299,0.5246,0.2878,0.4221
1957,0.4311,0.5642,0.7142,0.6384,0.235,0.3778,0.3905,0.4904,0.1803,0.383,0.4,0.3533,0.2262,1.026,1.259,1.1652,0.9823,1.2933,0.6452,2.6967,2.3218,2.8955,0.5864,0.6208,0.9235,0.5035,0.0943,0.5441,0.3049,0.4202
